"division_code","division","district_code","district","ctc","ctn","upazila_code","upazila","psc","psn","union_code","union_name","mouza_code","mouza","village_code","village","rmo_tus","rmo_phc","ea_code","psu_code"
"40","KHULNA","01","BAGERHAT","00","OTHERS AREA","34","FAKIRHAT","00","OTHERS AREA","710","SHUBHADIA","725","SHUBHADIA","368","SHUBHADIA",1,"1","002",1001
"55","RANGPUR","32","GAIBANDHA","00","OTHERS AREA","67","PALASHBARI","00","OTHERS AREA","519","MANOHARPUR","272","GHORABANDHA","070","GHORABANDHA",1,"1","006",1002
"45","MYMENSINGH","61","MYMENSINGH","00","OTHERS AREA","13","BHALUKA","00","OTHERS AREA","151","BHARADOBA","531","NISHINDA","140","NISHINDA",1,"1","006",1003
"50","RAJSHAHI","88","SIRAJGANJ","00","OTHERS AREA","67","SHAHJADPUR","00","OTHERS AREA","142","BELTAIL","294","GHORSHAL","128","GHORSHAL",1,"1","007",1004
"55","RANGPUR","94","THAKURGAON","00","OTHERS AREA","86","RANISHANKAIL","00","OTHERS AREA","552","NEKMARAD","175","DURLABHPUR","040","DURLABHPUR",1,"1","004",1005
"55","RANGPUR","32","GAIBANDHA","00","OTHERS AREA","91","SUNDARGANJ","00","OTHERS AREA","151","BELKA","483","MAJHBARI","130","MAJHBARI",1,"1","002",1006
"60","SYLHET","90","SUNAMGANJ","00","OTHERS AREA","33","DOWARABAZAR","00","OTHERS AREA","210","DOHALIA","085","BARAKAPAN (PART)","268","NOAGAON",1,"1","001",1007
"20","CHATTOGRAM","19","CUMILLA","00","OTHERS AREA","72","LAKSAM","00","OTHERS AREA","109","AJGARA","732","SUKHTALA","040","DAMBAHAR",1,"1","003",1008
"30","DHAKA","67","NARAYANGANJ","00","OTHERS AREA","02","ARAIHAZAR","00","OTHERS AREA","711","SATGRAM","081","BARA NOAGAON","130","MATAIN",1,"1","003",1009
"55","RANGPUR","73","NILPHAMARI","00","OTHERS AREA","12","DIMLA","00","OTHERS AREA","544","NAUTARA","411","KANKRA","110","KANKRA",1,"1","005",1010
"30","DHAKA","48","KISHOREGANJ","00","OTHERS AREA","59","MITHAMAIN","00","OTHERS AREA","452","KEWARJOR","426","KORA","110","KORAKANDI",1,"1","001",1011
"55","RANGPUR","27","DINAJPUR","00","OTHERS AREA","30","CHIRIRBANDAR","00","OTHERS AREA","379","ISABPUR","320","HARISHCHANDRAPUR","080","HARISHCHANDRAPUR",1,"1","002",1012
"30","DHAKA","56","MANIKGANJ","00","OTHERS AREA","22","GHIOR","00","OTHERS AREA","160","BARATIA","749","SREEBARI","190","SREEBARI",1,"1","007",1013
"20","CHATTOGRAM","19","CUMILLA","00","OTHERS AREA","27","CHANDINA","00","OTHERS AREA","532","MAIJKHAR","073","BAMNIKHOLA","020","BAMNIKHOLA",1,"1","004",1014
"50","RAJSHAHI","88","SIRAJGANJ","00","OTHERS AREA","50","KAZIPUR","00","OTHERS AREA","747","TEKANI","309","HARINATHPUR","148","HARINATHPUR",1,"1","001",1015
"55","RANGPUR","49","KURIGRAM","00","OTHERS AREA","09","CHILMARI","00","OTHERS AREA","741","THANAHAT","611","PUTIMARI KAJALDANGA","062","FAKIRER BHITAGRAM",1,"1","002",1016
