psu_code,id,division_code,division,district_code,district,ctc,ctn,upazila_code,upazila,psc,psn,union_code,union_name,mouza_code,mouza,village_code,village,rmo_tus,rmo_phc,ea_code,target
0003,1004000900109785211008,10,Barishal,04,Barguna,00,,09,Amtali,00,,109,Amtali,785,Uttar Tiakhali,211,Uttar Tiakhali,1,1,008,100
0001,1004000900250267043001,10,Barishal,04,Barguna,00,,09,Amtali,00,,250,Gulisakhali,267,Gojkhali,043,Debpur,1,1,001,110
0002,1004000900444417160003,10,Barishal,04,Barguna,00,,09,Amtali,00,,444,Kukua,417,Krishnanagar,160,Pashchim Krishnanagar,1,1,003,95
0004,1004000920002118111004,10,Barishal,04,Barguna,00,,09,Amtali,20,Amtali Pourasabha,002,Ward No. 02,118,Chaora (Part),111,Khontakata (Uttar),2,2,004,90
0005,1004001900210311040001,10,Barishal,04,Barguna,00,,19,Bamna,00,,210,Douatala,311,Hogalpati,040,Dakkhin Hogalpati,1,1,001,105
0011,1004002800143420112001,10,Barishal,04,Barguna,00,,28,Barguna Sadar,00,,143,Badarkhali,420,Kumrakhali,112,Kumrakhali,1,1,001,80
0007,1004002800212120090002,10,Barishal,04,Barguna,00,,28,Barguna Sadar,00,,212,Dhalua,120,Charakgachhia,090,Islampur Bandargachhia,1,1,002,120
0006,1004002800445415112002,10,Barishal,04,Barguna,00,,28,Barguna Sadar,00,,445,Keorabania,415,Keorabania,112,Keorabania,1,1,002,120
0010,1004002800613121020001,10,Barishal,04,Barguna,00,,28,Barguna Sadar,00,,613,Phuljhuri,121,Chhota Gourichanna,020,Baroghar,1,1,001,100
0009,1004002840001414162008,10,Barishal,04,Barguna,00,,28,Barguna Sadar,40,Barguna Pourasabha,001,Ward No. 01,414,Karaitala Maitha (Part),162,Pashchim Char Colony,2,2,008,120
0008,1004002840008081070006,10,Barishal,04,Barguna,00,,28,Barguna Sadar,40,Barguna Pourasabha,008,Ward No. 08,081,Barguna(Part),070,Govt. Girls Schoolpara,2,2,006,100
0012,1004004700343305161003,10,Barishal,04,Barguna,00,,47,Betagi,00,,343,Hosnabad,305,Hosnabad,161,Purba Hosnabad,1,1,003,100
0013,1004008500175302040005,10,Barishal,04,Barguna,00,,85,Patharghata,00,,175,Char Duani,302,Hoglapasha,040,Dakkhin Hoglapasha,1,1,005,105
0015,1004008500458412110001,10,Barishal,04,Barguna,00,,85,Patharghata,00,,458,Kanthaltali,412,Kanthaltali,110,Kanthaltali,1,1,001,100
0014,1004008500676450071003,10,Barishal,04,Barguna,00,,85,Patharghata,00,,676,Rayhanpur,450,Lemua (Part),071,Golbunia,1,1,003,98
0016,1004008580001598160002,10,Barishal,04,Barguna,00,,85,Patharghata,80,Patharghata Pourasabha,001,Ward No. 01,598,Patharghata (Part),160,Patharghata (Part),2,2,002,120
0017,1004009000541074151001,10,Barishal,04,Barguna,00,,90,Taltali,00,,541,Nishanbaria,074,Bara Nishanbariachak (Part),151,Nameshepara,1,1,001,120
0019,1006000200142410111007,10,Barishal,06,Barishal,00,,02,Agailjhara,00,,142,Bagdha,410,Kalirbari,111,Kalirbari,1,1,007,120
0018,1006000200682076020011,10,Barishal,06,Barishal,00,,02,Agailjhara,00,,682,Ratnapur,076,Baropaika,020,Baropaika,1,1,011,104
0020,1006000300408126210003,10,Barishal,06,Barishal,00,,03,Babuganj,00,,408,Jahangirnagar,126,Char Uttar Bhutardia,210,Uttar Char Bhutardia,1,1,003,118
0024,1006000700142084021006,10,Barishal,06,Barishal,00,,07,Bakerganj,00,,142,Bharpasha,084,Bharpasha (Part),021,Bharpasha,2,3,006,120
0025,1006000700176072020007,10,Barishal,06,Barishal,00,,07,Bakerganj,00,,176,Charadi,072,Balaikathi,020,Balaikathi,1,1,007,110
0021,1006000700229126030003,10,Barishal,06,Barishal,00,,07,Bakerganj,00,,229,Durgapasha,126,Char Lakkhibardhan,030,Char Lakkhibardhan,1,1,003,120
0022,1006000700456081020004,10,Barishal,06,Barishal,00,,07,Bakerganj,00,,456,Kalaskathi,081,Bebaz,020,Bebaz,1,1,004,120
0023,1006000700616689180006,10,Barishal,06,Barishal,00,,07,Bakerganj,00,,616,Padree Shibpur,689,Raghunathpur,180,Raghunathpur,1,1,006,120
0027,1006001000160800210003,10,Barishal,06,Barishal,00,,10,Banaripara,00,,160,Bisharkandi,800,Umarerpar,210,Umarerpar,1,1,003,110
0026,1006001000776764200010,10,Barishal,06,Barishal,00,,10,Banaripara,00,,776,Udaykathi,764,Tetla,200,Tetla,1,1,010,110
0028,1006003200509085020003,10,Barishal,06,Barishal,00,,32,Gaurnadi,00,,509,Mahilara,085,Bejahar,020,Bejahar,1,1,003,115
0029,1006003267006793210004,10,Barishal,06,Barishal,00,,32,Gaurnadi,67,Gaurnadi Pourasabha,006,Ward No. 06,793,Uttar Bijoypur,210,Uttar Bijoypur,2,2,004,85
0030,1006003600309428110005,10,Barishal,06,Barishal,00,,36,Hijla,00,,309,Guabaria,428,Kalikapur,110,Kalikapur,1,1,005,105
0033,1006005100175316080003,10,Barishal,06,Barishal,00,,51,Barishal Sadar (Kotwali),00,,175,Chandpura,316,Hijaltala,080,Hijaltala,1,1,003,120
0032,1006005100211139030005,10,Barishal,06,Barishal,00,,51,Barishal Sadar (Kotwali),00,,211,Charmonai,139,Chatua,030,Chatua,1,1,005,105
0031,1006005100745074020004,10,Barishal,06,Barishal,00,,51,Barishal Sadar (Kotwali),00,,745,Tungibaria,074,Baraikandi,020,Baraikandi,1,1,004,95
0037,1006006200153122131001,10,Barishal,06,Barishal,00,,62,Mehendiganj,00,,153,Bidyanandanpur,122,Char Madhabray,131,Madhabray,1,1,001,100
